task,algorithm,nominal_operations,actual_operations,iterations,samples,seed,episode_cost,planning_time_seconds,segment_horizon,total_horizon,execution_fraction,execution_horizon,planning_calls,randomizations,knots,spline,frequency,max_episode_steps,base_noise,candidate,parameters
double_cart_pole,cbo,4096,4096,2,2048,1,1439.5667724609375,0.7389806942082942,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,2,2048,2,1512.6326904296875,0.7404431449249387,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,2,2048,3,1729.4869384765625,0.7371689663268626,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,2,2048,4,1593.052734375,0.739968987647444,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,4,1024,0,1548.633056640625,1.340251266490668,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,4,1024,1,1481.7940673828125,1.3365875827148557,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,4,1024,2,1043.0728759765625,1.3363892347551882,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,4,1024,3,1385.389892578125,1.33757248474285,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,4,1024,4,1956.0260009765625,1.3368876604363322,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,8,512,0,2437.2685546875,2.5047555114142597,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,8,512,1,4067.384765625,2.4878648300655186,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,8,512,2,1850.763916015625,2.487480580806732,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,8,512,3,2238.284912109375,2.487270280253142,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,8,512,4,2841.059814453125,2.4878496984019876,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,16,256,0,4953.06298828125,4.629666265565902,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,16,256,1,3181.8173828125,4.628835222683847,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,16,256,2,2521.005615234375,4.630140079651028,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,16,256,3,1865.1722412109375,4.628309216815978,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,4096,4096,16,256,4,1182.2969970703125,4.628119882196188,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,1,2048,0,1464.4781494140625,0.37816114304587245,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,1,2048,1,1586.627197265625,0.37073573283851147,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,1,2048,2,1927.9210205078125,0.36997018940746784,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,1,2048,3,1225.0323486328125,0.369760281406343,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,1,2048,4,1650.5426025390625,0.37024300964549184,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,2,1024,0,2155.90673828125,0.6658122693188488,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,2,1024,1,1375.8114013671875,0.6593323834240437,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,2,1024,2,1328.30615234375,0.6617164588533342,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,2,1024,3,1947.5472412109375,0.6578330998308957,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,2,1024,4,1182.3629150390625,0.6580835389904678,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,4,512,0,1482.4124755859375,1.2480772603303194,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
